
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2011-6-1,97,86,74,72,66,53,87,56,24,30.23,30.14,30.01,10,10,8,13,4,22,0.00,3,,146
2011-6-2,99,84,69,66,59,54,84,54,24,30.07,29.99,29.88,10,10,10,17,5,23,0.00,0,,172
2011-6-3,99,86,72,65,60,57,61,44,26,30.02,29.95,29.89,10,10,10,16,5,24,0.00,0,,149
2011-6-4,98,85,72,72,65,54,87,56,24,30.16,30.08,30.01,10,10,10,13,4,21,0.00,3,,141
2011-6-5,101,85,69,66,62,58,78,54,29,30.10,30.04,29.95,10,10,10,14,2,21,0.00,0,Thunderstorm,173
2011-6-6,103,87,71,65,59,51,73,46,19,29.99,29.91,29.81,10,10,7,17,3,33,0.00,0,,96
2011-6-7,100,86,72,69,63,58,73,50,26,29.89,29.84,29.77,10,10,7,16,5,28,0.00,0,,164
2011-6-8,99,87,74,72,67,61,87,58,29,29.95,29.87,29.80,10,10,9,15,8,24,0.00,2,,178
2011-6-9,99,86,73,71,67,57,87,57,26,29.98,29.89,29.78,10,10,9,16,8,25,0.00,2,,170
2011-6-10,100,87,74,72,67,60,87,58,29,29.95,29.86,29.77,10,10,9,15,8,23,0.00,3,,169
2011-6-11,99,87,74,72,67,60,87,58,29,29.97,29.88,29.79,10,10,10,12,4,21,0.00,3,,172
2011-6-12,100,88,75,72,67,57,87,57,26,29.96,29.89,29.80,10,10,7,14,7,22,0.00,2,,179
2011-6-13,101,88,75,72,66,58,87,57,26,30.02,29.92,29.83,10,10,10,14,6,23,0.00,1,,182
2011-6-14,103,89,75,72,66,57,87,56,24,29.98,29.88,29.73,10,10,10,16,8,28,0.00,2,,183
2011-6-15,104,91,78,72,67,58,79,52,24,29.90,29.79,29.70,10,10,10,17,8,25,0.00,2,,170
2011-6-16,103,90,77,72,69,61,82,55,27,29.87,29.78,29.68,10,10,10,17,9,32,0.00,3,,172
2011-6-17,106,93,80,74,69,60,79,52,24,29.85,29.77,29.70,10,10,9,17,9,29,0.00,3,,180
2011-6-18,106,92,78,73,70,58,85,53,21,29.94,29.83,29.73,10,10,10,17,10,36,0.00,3,,180
2011-6-19,105,92,79,73,69,61,85,55,25,29.88,29.78,29.66,10,10,10,20,10,33,0.00,2,,176
2011-6-20,102,90,78,72,69,64,79,55,31,29.81,29.70,29.60,10,10,10,17,11,35,0.00,4,,174
2011-6-21,101,86,70,73,71,65,79,56,33,29.82,29.74,29.65,10,10,10,16,8,33,0.02,6,,170
2011-6-22,90,79,67,70,69,66,100,76,52,29.94,29.90,29.84,10,8,1,13,3,22,1.99,5,Rain-Thunderstorm,93
2011-6-23,95,84,72,72,70,67,93,67,41,29.97,29.89,29.80,10,10,10,12,4,17,0.00,3,,171
2011-6-24,97,85,73,72,70,66,87,65,42,29.91,29.83,29.75,10,10,10,15,5,23,0.00,2,,147
2011-6-25,97,87,77,74,72,69,88,65,42,29.89,29.82,29.76,10,10,10,15,7,30,T,5,Rain,166
2011-6-26,97,87,77,74,71,65,88,63,38,29.93,29.85,29.78,10,10,9,15,8,26,0.00,4,,176
2011-6-27,99,88,77,74,72,67,88,62,35,29.97,29.90,29.83,10,10,10,15,8,24,0.00,3,,181
2011-6-28,99,88,76,74,71,62,94,65,35,30.06,29.98,29.90,10,10,10,14,5,23,0.00,2,,170
2011-6-29,99,87,75,72,67,60,87,59,30,30.03,29.96,29.89,10,10,10,12,4,17,0.00,0,,162
2011-6-30,100,87,74,70,63,36,79,45,11,30.00,29.93,29.87,10,10,10,12,5,20,0.00,1,,167
