
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1987-7-1,93,85,77,78,76,70,96,83,54,30.02,29.96,29.90,20,13,1,25,6,36,0.21,5,Rain-Thunderstorm,180
1987-7-2,91,84,77,77,76,72,96,79,55,29.97,29.91,29.86,20,15,7,13,6,18,0.00,5,,169
1987-7-3,93,86,78,76,75,74,90,74,55,29.98,29.90,29.85,20,19,15,14,9,23,0.00,4,,179
1987-7-4,93,85,77,76,74,72,94,72,49,29.93,29.89,29.83,20,15,7,17,13,28,0.00,4,,180
1987-7-5,93,85,77,76,75,73,94,74,52,29.95,29.91,29.88,20,15,10,15,12,25,0.00,3,,177
1987-7-6,93,86,78,76,74,71,90,72,49,29.98,29.94,29.88,20,17,10,17,11,24,0.00,4,,167
1987-7-7,91,82,73,75,73,72,100,77,53,29.99,29.95,29.91,20,18,10,17,8,28,0.00,4,Rain-Thunderstorm,152
1987-7-8,91,82,73,75,73,70,97,79,50,30.04,29.96,29.91,20,14,2,17,7,24,0.00,5,Fog,137
1987-7-9,90,82,73,77,74,72,100,87,59,30.04,30.00,29.95,15,10,1,20,8,24,0.58,7,Rain-Thunderstorm,163
1987-7-10,91,82,73,78,74,71,100,79,57,30.07,30.00,29.93,15,9,4,15,8,25,0.00,5,Fog,162
1987-7-11,91,83,75,76,73,67,97,73,49,30.02,29.97,29.91,20,13,4,15,8,21,0.00,5,,166
1987-7-12,93,83,73,75,73,71,97,73,50,30.02,29.96,29.89,15,13,7,13,8,20,0.00,4,,175
1987-7-13,91,83,75,75,73,70,100,74,50,30.07,30.00,29.95,20,15,5,15,8,,0.00,6,Fog,216
1987-7-14,87,80,73,72,70,68,82,70,57,30.11,30.03,29.97,20,14,10,17,10,24,0.00,7,,39
1987-7-15,90,82,73,75,71,68,93,76,59,30.03,29.99,29.94,15,13,9,13,4,,0.00,7,,136
1987-7-16,89,82,75,76,73,69,97,75,53,30.03,29.96,29.90,15,10,6,15,7,25,0.00,8,Fog,156
1987-7-17,89,80,72,77,74,70,97,80,59,30.05,29.98,29.93,15,9,1,18,9,25,1.36,6,Rain-Thunderstorm,173
1987-7-18,91,83,75,76,74,71,97,75,50,30.09,30.02,29.94,10,9,7,13,7,,0.00,3,,162
1987-7-19,91,83,75,76,72,67,100,74,50,30.11,30.05,29.99,15,8,0,12,5,,0.00,3,Fog,145
1987-7-20,91,82,73,74,71,68,96,70,48,30.12,30.07,30.02,10,8,4,16,5,,0.00,1,Fog,94
1987-7-21,86,80,73,76,72,70,96,85,65,30.14,30.09,30.05,15,10,3,14,6,24,0.28,4,Rain-Thunderstorm,78
1987-7-22,91,82,73,75,72,69,97,75,48,30.12,30.05,29.98,15,12,7,12,3,,0.00,3,,152
1987-7-23,93,83,73,76,73,70,97,75,50,30.05,29.99,29.93,15,12,7,14,6,20,0.00,2,Thunderstorm,170
1987-7-24,93,83,73,76,74,71,100,83,52,30.12,30.05,30.00,20,12,4,18,6,32,1.03,4,Rain-Thunderstorm,133
1987-7-25,90,80,71,74,71,67,100,76,48,30.16,30.10,30.02,15,11,5,8,5,,0.00,3,Fog,89
1987-7-26,91,82,73,75,72,66,96,73,44,30.09,30.04,29.96,15,13,7,15,5,18,0.00,3,,116
1987-7-27,91,82,73,74,72,67,97,77,44,30.08,30.02,29.95,15,13,10,14,5,24,0.00,3,,129
1987-7-28,91,81,71,74,69,65,100,70,41,30.06,29.99,29.92,20,16,7,8,4,14,0.00,1,,166
1987-7-29,93,84,75,71,69,66,84,60,40,30.01,29.96,29.91,20,14,10,12,6,,0.00,1,,189
1987-7-30,95,85,75,73,71,67,88,63,42,30.01,29.96,29.91,15,13,7,8,6,,0.00,1,,188
1987-7-31,96,84,73,75,72,67,97,68,40,30.04,29.99,29.92,15,13,7,9,6,,0.00,1,,168
