
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2000-4-1,70,66,62,70,64,60,100,94,84,29.94,29.85,29.79,10.0,4.5,1.2,9,4,,0.11,8,Rain,46
2000-4-2,60,58,55,59,57,54,100,96,90,29.99,29.91,29.84,10.0,6.3,0.8,14,6,21,1.28,8,Rain,334
2000-4-3,68,60,54,58,52,39,100,79,47,30.31,30.03,29.84,10.0,8.6,3.0,14,6,22,0.30,4,Rain,322
2000-4-4,72,56,44,41,37,31,82,52,27,30.43,30.32,30.21,10.0,10.0,10.0,8,6,,0.00,0,,312
2000-4-5,79,65,51,53,47,40,71,54,38,30.22,30.09,29.96,10.0,10.0,10.0,15,7,22,0.00,0,,178
2000-4-6,84,72,59,63,60,55,94,74,49,29.99,29.89,29.76,10.0,10.0,10.0,16,10,24,0.00,3,,177
2000-4-7,87,76,66,68,64,47,90,73,37,29.96,29.81,29.73,10.0,10.0,10.0,16,10,26,0.00,4,,184
2000-4-8,68,63,54,38,32,27,43,32,25,30.45,30.32,30.05,10.0,10.0,10.0,16,13,30,0.00,2,,10
2000-4-9,75,59,45,54,41,32,76,51,34,30.36,30.23,30.06,10.0,10.0,10.0,16,6,22,0.00,0,,155
2000-4-10,75,67,59,64,60,54,87,80,68,30.06,29.97,29.90,10.0,10.0,10.0,14,8,23,0.00,6,Rain,159
2000-4-11,80,74,69,70,67,65,100,86,73,30.07,29.98,29.93,10.0,9.5,5.0,14,9,20,0.02,7,Rain,134
2000-4-12,69,66,60,67,60,58,100,88,73,30.19,30.14,30.04,10.0,9.5,1.2,28,8,40,0.70,7,Rain,346
2000-4-13,75,65,57,58,56,54,94,81,57,30.20,30.15,30.03,10.0,9.4,6.0,9,5,17,0.00,6,,53
2000-4-14,72,63,55,63,59,55,100,89,70,30.06,29.97,29.86,10.0,7.1,3.0,10,4,16,0.00,5,,130
2000-4-15,82,70,60,64,62,60,100,85,56,29.90,29.86,29.75,10.0,8.0,5.0,12,8,23,0.00,6,,152
2000-4-16,87,77,68,70,67,63,97,78,48,30.08,29.97,29.84,10.0,10.0,9.0,10,6,18,0.00,5,,145
2000-4-17,86,75,66,68,65,62,93,75,51,30.13,30.05,29.97,10.0,10.0,10.0,10,4,16,0.00,4,,136
2000-4-18,80,74,68,71,68,66,96,83,69,30.02,29.96,29.84,10.0,10.0,10.0,12,8,18,0.00,6,,170
2000-4-19,87,76,69,70,68,65,94,80,51,29.90,29.82,29.74,10.0,10.0,10.0,16,10,21,0.00,5,,160
2000-4-20,86,78,69,70,54,38,90,53,22,30.09,29.98,29.82,10.0,9.6,7.0,18,8,26,0.00,3,,8
2000-4-21,82,69,57,51,48,42,72,49,27,30.18,30.10,30.03,10.0,10.0,10.0,10,5,16,0.00,0,,14
2000-4-22,82,67,52,59,52,47,86,58,41,30.03,29.84,29.61,10.0,10.0,10.0,16,5,30,0.00,1,,155
2000-4-23,98,84,71,70,61,44,88,59,22,29.70,29.60,29.47,10.0,10.0,9.0,14,8,23,0.00,4,,235
2000-4-24,88,76,66,57,53,50,63,46,33,29.90,29.80,29.65,10.0,10.0,10.0,13,7,21,0.00,0,,351
2000-4-25,87,74,62,57,54,49,84,52,29,30.10,30.02,29.91,10.0,10.0,10.0,8,5,,0.00,0,,46
2000-4-26,90,76,62,61,59,56,87,59,36,30.11,30.06,29.99,10.0,10.0,10.0,10,3,,0.00,0,,150
2000-4-27,90,78,66,65,62,60,90,63,37,30.03,29.96,29.85,10.0,10.0,10.0,12,7,18,0.00,1,,164
2000-4-28,87,78,70,67,61,51,90,64,33,30.06,29.98,29.91,10.0,10.0,10.0,14,6,20,0.00,3,,86
2000-4-29,84,74,64,69,64,52,94,71,49,30.01,29.94,29.86,10.0,9.2,4.0,15,4,22,0.00,4,,130
2000-4-30,87,78,71,72,69,62,94,77,51,29.96,29.89,29.83,10.0,9.5,7.0,18,11,26,0.00,6,Rain,144
