
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1975-5-1,77,70,64,68,63,58,90,78,69,30.08,30.02,29.96,15,12,5,15,12,,0.00,7,,85
1975-5-2,79,74,68,71,69,66,96,87,77,30.03,29.92,29.83,10,9,6,13,6,,0.00,7,Fog,158
1975-5-3,81,76,71,73,71,70,97,87,72,29.91,29.83,29.75,10,8,1,9,6,,0.00,8,Fog,170
1975-5-4,84,75,66,74,69,61,100,87,65,29.87,29.79,29.65,15,7,0,24,8,33,0.06,7,Fog-Rain-Thunderstorm,91
1975-5-5,78,71,64,73,68,62,97,89,79,29.76,29.67,29.59,15,7,2,14,8,21,0.14,7,Fog-Rain-Thunderstorm,147
1975-5-6,84,78,71,72,71,69,100,83,59,29.73,29.66,29.60,8,4,0,12,7,,0.13,7,Fog-Rain-Thunderstorm,167
1975-5-7,88,78,68,73,70,64,100,83,57,29.79,29.73,29.62,15,6,0,17,6,23,0.48,7,Fog-Rain-Thunderstorm,341
1975-5-8,78,71,64,73,67,61,97,89,75,30.01,29.84,29.75,15,9,3,21,5,32,0.11,7,Rain-Thunderstorm,65
1975-5-9,82,71,60,71,66,59,97,82,65,30.00,29.95,29.89,10,10,7,14,7,,0.00,4,,125
1975-5-10,81,76,70,70,68,65,97,81,58,30.09,30.00,29.91,15,12,7,13,6,,0.38,6,Fog-Rain-Thunderstorm,78
1975-5-11,78,72,66,70,67,63,93,84,71,29.97,29.94,29.88,15,11,6,16,5,,0.42,7,Fog-Rain-Thunderstorm,42
1975-5-12,80,70,60,66,63,58,97,79,58,29.96,29.91,29.84,15,12,7,10,6,,0.00,2,,85
1975-5-13,82,73,64,68,66,64,100,80,56,29.92,29.86,29.78,15,10,2,13,4,,0.00,6,Fog,152
1975-5-14,80,70,61,63,59,55,97,73,45,29.96,29.85,29.80,15,14,3,17,10,28,0.19,5,Rain-Thunderstorm,325
1975-5-15,82,72,61,61,58,55,87,70,41,29.91,29.86,29.82,15,12,10,18,13,25,0.00,3,,351
1975-5-16,82,70,59,60,56,49,93,62,33,29.95,29.90,29.87,15,12,4,12,7,,0.00,1,Fog,11
1975-5-17,82,72,61,64,59,55,81,65,44,30.03,29.97,29.94,15,14,6,8,5,,0.00,1,,131
1975-5-18,87,76,64,68,65,62,97,70,46,30.07,29.99,29.89,15,9,2,16,8,21,0.00,1,Fog,173
1975-5-19,82,74,66,72,69,64,100,86,71,29.95,29.88,29.77,15,7,2,21,9,32,0.30,6,Fog-Rain-Thunderstorm,168
1975-5-20,88,76,64,75,70,63,97,82,61,29.85,29.77,29.68,15,12,10,16,9,,0.28,6,Rain-Thunderstorm,143
1975-5-21,87,80,73,76,74,72,97,84,65,29.89,29.83,29.79,15,10,5,15,10,21,0.00,6,Fog,162
1975-5-22,87,80,73,73,71,68,97,77,61,29.91,29.87,29.82,15,12,4,15,11,23,0.00,6,Fog,157
1975-5-23,77,72,66,73,68,63,97,88,76,29.96,29.89,29.81,15,8,0,26,11,33,4.20,8,Fog-Rain-Thunderstorm,80
1975-5-24,75,69,63,68,63,61,97,89,71,30.03,29.90,29.83,15,11,1,25,12,44,0.92,7,Rain-Thunderstorm,134
1975-5-25,84,70,57,73,66,58,100,81,63,29.98,29.91,29.86,15,14,5,13,4,,0.00,3,Fog,178
1975-5-26,88,80,73,73,71,66,93,76,55,29.99,29.94,29.89,15,12,7,13,9,,0.00,5,,175
1975-5-27,86,76,66,72,68,66,100,79,57,30.00,29.93,29.83,15,12,6,8,4,,0.00,7,,163
1975-5-28,82,76,69,71,69,67,97,83,62,29.88,29.77,29.68,15,11,4,13,7,,0.00,6,Fog-Rain,145
1975-5-29,78,71,64,72,68,62,97,86,68,29.79,29.71,29.66,15,12,0,30,10,44,0.39,6,Fog-Rain-Thunderstorm,113
1975-5-30,73,68,63,71,64,57,100,82,59,29.90,29.79,29.71,15,11,0,20,8,29,0.07,6,Fog-Rain-Thunderstorm,357
1975-5-31,82,70,59,58,55,50,96,63,32,29.94,29.90,29.86,15,15,15,14,6,,0.00,0,,338
