
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2000-5-1,,,,,,,,,,,,,,,,,,,,,,
2000-5-2,,,,,,,,,,,,,,,,,,,,,,
2000-5-3,84,78,73,70,68,66,90,74,62,29.88,29.86,29.83,10,10,10,9,7,,0.00,3,,142
2000-5-4,87,78,69,74,70,66,97,86,63,29.94,29.89,29.80,10,9,6,13,7,18,0.00,7,Rain,151
2000-5-5,87,76,69,73,71,68,100,86,65,29.96,29.90,29.82,10,9,5,14,8,24,0.00,7,,144
2000-5-6,90,80,72,73,72,70,97,81,57,29.94,29.89,29.81,10,10,8,17,11,26,0.00,5,,163
2000-5-7,90,80,71,74,72,71,100,85,61,29.95,29.90,29.83,10,10,8,15,10,23,0.00,6,,165
2000-5-8,91,80,71,73,72,69,100,82,52,29.91,29.84,29.74,10,9,6,16,10,26,0.00,5,,169
2000-5-9,86,78,73,76,73,70,100,86,69,29.89,29.81,29.74,10,10,5,16,8,22,0.02,7,Rain,182
2000-5-10,90,80,71,75,72,68,94,80,61,29.92,29.85,29.75,10,10,7,14,6,22,0.00,6,,158
2000-5-11,91,82,75,77,75,73,96,85,63,29.83,29.76,29.66,10,8,6,14,11,25,0.00,6,,162
2000-5-12,93,80,66,79,74,63,100,86,57,29.93,29.77,29.66,10,8,2,17,11,25,0.00,6,Rain,167
2000-5-13,82,74,66,68,61,51,100,68,49,30.13,30.04,29.85,10,10,10,15,9,24,0.00,0,Rain,21
2000-5-14,82,73,64,67,56,48,64,56,51,30.25,30.15,30.09,10,10,10,10,7,20,0.00,2,,65
2000-5-15,87,73,62,73,67,59,96,76,61,30.13,30.04,29.93,10,10,10,13,4,18,0.00,2,,155
2000-5-16,91,82,73,78,73,69,94,78,61,30.01,29.89,29.81,10,10,10,17,11,23,0.00,4,,168
2000-5-17,89,80,73,72,69,65,94,76,49,29.89,29.78,29.68,10,10,10,21,13,31,0.00,4,,161
2000-5-18,88,81,75,72,71,69,89,76,57,29.95,29.85,29.77,10,10,10,14,10,22,0.00,7,,153
2000-5-19,87,73,62,72,67,60,100,86,65,30.07,30.00,29.92,10,9,2,16,8,23,0.31,7,Rain,35
2000-5-20,79,70,63,66,62,59,93,79,60,30.07,30.00,29.93,10,10,7,12,4,17,0.00,6,,21
2000-5-21,91,77,64,68,66,64,97,70,42,30.07,29.97,29.89,10,9,5,8,2,,0.01,3,,98
2000-5-22,95,81,69,69,65,58,97,61,31,29.96,29.90,29.84,10,10,10,13,4,18,0.00,0,,176
2000-5-23,93,82,71,73,70,68,94,75,45,29.86,29.80,29.70,10,10,10,13,8,18,0.00,3,,183
2000-5-24,96,84,73,74,72,70,94,73,49,29.76,29.69,29.62,10,10,10,14,10,22,0.00,3,,175
2000-5-25,93,85,77,75,73,72,88,72,51,29.77,29.69,29.63,10,10,10,15,10,26,0.00,6,,156
2000-5-26,91,84,78,74,74,73,87,76,55,29.74,29.69,29.62,10,9,6,17,10,24,0.00,7,,155
2000-5-27,91,80,69,74,73,62,94,77,57,29.99,29.83,29.73,10,9,5,21,9,34,0.07,6,Rain,158
2000-5-28,91,79,68,70,67,66,96,70,49,30.01,29.95,29.88,10,10,10,7,3,,0.00,0,,300
2000-5-29,93,82,73,73,71,68,100,76,45,30.01,29.92,29.83,10,8,2,9,2,,0.00,4,,129
2000-5-30,96,84,73,73,70,65,100,68,38,29.92,29.88,29.82,10,10,8,10,6,17,0.00,1,,157
2000-5-31,93,82,72,72,69,63,94,70,37,30.01,29.95,29.87,10,10,10,14,7,20,0.00,4,,164
