
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1981-6-1,89,80,71,74,71,68,93,82,61,29.90,29.84,29.79,20,11,1,18,6,30,0.62,6,Rain-Thunderstorm,168
1981-6-2,91,82,72,75,72,70,97,85,57,29.90,29.83,29.70,15,10,2,17,7,25,0.26,6,Rain-Thunderstorm,170
1981-6-3,86,79,71,76,73,69,100,89,67,29.86,29.80,29.74,15,9,0,21,8,25,0.55,7,Fog-Rain-Thunderstorm,136
1981-6-4,86,78,70,76,72,67,97,85,61,29.83,29.80,29.75,15,10,3,20,7,,0.04,7,Fog-Rain,90
1981-6-5,88,80,72,74,71,68,100,81,57,29.81,29.76,29.73,20,9,1,14,8,,0.18,6,Fog-Rain,316
1981-6-6,93,82,70,73,70,67,97,68,42,29.84,29.80,29.75,20,18,10,7,2,,0.00,2,,230
1981-6-7,95,84,73,75,73,70,97,70,44,29.85,29.80,29.74,20,16,6,9,5,,0.00,2,,190
1981-6-8,95,87,79,76,74,71,90,70,49,29.85,29.78,29.72,20,15,7,14,7,,0.00,4,,187
1981-6-9,93,86,79,75,73,70,85,68,52,29.79,29.73,29.66,20,15,2,16,11,23,0.00,4,,177
1981-6-10,93,86,79,76,73,71,85,71,49,29.79,29.73,29.67,20,16,10,21,12,34,0.03,6,Rain-Thunderstorm,170
1981-6-11,82,76,70,74,69,65,93,87,72,29.87,29.81,29.75,10,7,1,17,8,,5.66,8,Fog-Rain-Thunderstorm,97
1981-6-12,80,76,72,72,70,68,93,86,76,29.93,29.86,29.80,15,10,2,14,7,,0.21,8,Fog-Rain-Thunderstorm,103
1981-6-13,80,76,72,74,71,69,93,89,81,29.92,29.85,29.81,10,6,0,17,8,,4.50,8,Fog-Rain-Thunderstorm,129
1981-6-14,86,80,73,76,74,71,94,84,72,29.91,29.85,29.80,10,7,0,17,11,28,0.75,7,Fog-Rain-Thunderstorm,153
1981-6-15,88,82,77,76,74,72,90,80,61,29.96,29.91,29.85,15,10,1,15,11,23,0.12,6,Fog-Rain,158
1981-6-16,78,72,66,74,66,63,91,82,73,30.14,30.07,29.96,20,11,4,17,10,26,2.02,8,Fog-Rain-Thunderstorm,2
1981-6-17,82,76,69,71,66,61,85,75,63,30.14,30.07,29.97,15,10,8,14,8,,0.00,7,Rain,57
1981-6-18,89,80,71,73,70,68,96,75,53,30.04,29.98,29.92,15,9,0,13,4,,0.00,5,Fog,174
1981-6-19,91,82,73,73,70,66,91,69,44,29.99,29.95,29.89,15,12,5,13,7,,0.00,2,Fog,177
1981-6-20,91,83,75,72,71,70,87,69,50,29.97,29.92,29.87,20,13,7,17,9,24,0.00,3,,179
1981-6-21,93,84,75,72,71,68,87,68,49,29.96,29.89,29.81,15,14,10,20,13,33,0.00,4,,174
1981-6-22,93,84,75,73,71,69,87,69,47,29.95,29.89,29.85,15,11,7,15,11,,0.00,4,,161
1981-6-23,93,84,75,73,72,68,91,71,47,30.05,29.97,29.91,15,12,5,15,6,,0.00,5,,128
1981-6-24,88,80,73,73,69,67,87,72,51,30.07,30.01,29.94,20,15,8,17,4,,0.00,5,,142
1981-6-25,89,81,73,72,70,68,87,76,53,30.11,30.07,30.02,20,15,10,16,3,22,0.00,6,Rain,104
1981-6-26,91,82,73,72,70,68,91,69,47,30.12,30.06,29.97,20,14,10,13,4,,0.00,4,,49
1981-6-27,89,80,72,74,70,68,91,75,53,30.05,30.00,29.94,15,10,4,10,4,,0.02,6,Fog-Rain-Thunderstorm,107
1981-6-28,91,82,73,74,72,70,93,76,52,30.05,29.98,29.92,20,11,0,13,4,,0.00,4,Fog,133
1981-6-29,90,82,75,73,72,70,94,75,54,30.09,30.02,29.98,20,16,7,13,6,,0.00,4,Rain,140
1981-6-30,90,82,75,73,71,69,90,76,52,30.12,30.05,29.99,20,14,8,14,3,,0.00,4,,142
