
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1976-6-1,82,74,66,73,67,62,97,85,67,29.97,29.86,29.68,20,17,7,15,9,23,0.23,6,Rain-Thunderstorm,190
1976-6-2,86,76,66,72,66,58,97,75,38,29.97,29.91,29.85,15,14,10,13,5,,0.17,2,Rain-Thunderstorm,86
1976-6-3,87,76,66,66,63,61,87,66,43,29.97,29.92,29.87,15,13,10,9,6,,0.00,2,,44
1976-6-4,87,78,68,67,64,62,87,66,44,30.01,29.96,29.92,10,8,6,10,3,,0.00,4,,88
1976-6-5,87,78,68,69,64,57,93,66,36,30.06,30.01,29.98,10,6,3,12,4,,0.07,2,Fog,104
1976-6-6,87,76,66,68,64,62,87,69,43,30.08,30.03,29.97,10,7,5,13,7,,0.04,2,Rain,54
1976-6-7,82,75,68,68,66,64,93,74,54,30.06,30.02,29.95,15,11,7,13,7,,0.04,4,,70
1976-6-8,84,76,68,69,65,63,93,70,48,30.06,30.01,29.95,15,12,4,13,6,,0.00,4,Fog,91
1976-6-9,86,76,66,67,64,61,90,66,44,30.06,30.01,29.96,15,12,5,10,5,,0.00,1,,159
1976-6-10,87,76,64,66,63,60,93,65,41,30.02,29.95,29.86,15,10,4,13,7,,0.00,0,Fog,173
1976-6-11,90,80,70,71,68,65,93,71,46,29.93,29.85,29.77,20,15,3,16,10,,0.00,4,Fog,177
1976-6-12,90,82,73,71,70,68,91,71,51,29.89,29.86,29.81,20,17,15,17,12,,0.00,5,,173
1976-6-13,88,80,73,71,67,60,91,69,46,29.99,29.92,29.85,20,16,7,15,10,,0.00,5,,178
1976-6-14,88,79,70,70,66,64,97,69,45,29.95,29.88,29.81,20,15,5,17,9,25,0.00,4,Fog,175
1976-6-15,91,82,73,74,71,68,91,73,50,29.90,29.85,29.78,20,15,7,12,8,,0.00,6,Rain,184
1976-6-16,91,82,73,72,69,65,85,66,48,29.92,29.85,29.78,20,19,10,14,7,,0.00,6,,51
1976-6-17,91,83,75,74,72,69,94,72,52,29.90,29.84,29.76,20,15,6,34,11,25,0.00,5,,177
1976-6-18,91,83,75,73,72,70,91,70,48,29.90,29.86,29.82,20,16,10,15,12,22,0.00,5,,179
1976-6-19,88,82,77,74,70,58,90,69,52,30.06,29.98,29.87,20,16,7,20,10,29,0.03,6,Rain,32
1976-6-20,87,76,66,57,52,45,73,46,23,30.12,30.04,29.96,20,20,20,13,8,,0.00,0,,54
1976-6-21,88,74,60,64,59,53,83,57,42,30.00,29.94,29.86,20,20,20,14,6,,0.00,1,,157
1976-6-22,91,82,73,72,69,64,93,70,43,29.98,29.90,29.80,20,14,5,16,10,31,0.00,5,Fog-Rain,172
1976-6-23,91,83,75,72,70,66,87,67,44,29.91,29.84,29.75,15,12,7,20,15,30,0.00,5,,179
1976-6-24,91,83,75,73,71,69,90,69,48,29.86,29.83,29.77,20,14,10,15,12,25,0.00,4,Rain,179
1976-6-25,84,75,66,72,68,66,97,74,55,30.00,29.92,29.85,20,11,4,16,9,25,0.92,5,Fog-Rain,76
1976-6-26,89,81,73,75,73,70,97,85,59,30.04,29.98,29.91,20,14,5,14,7,,1.50,6,Rain-Thunderstorm,152
1976-6-27,89,80,72,74,71,68,100,75,50,30.17,30.11,30.04,20,16,7,10,6,,0.00,4,,156
1976-6-28,90,82,73,73,70,65,93,70,45,30.13,30.07,29.99,20,16,10,12,6,,0.00,4,,178
1976-6-29,91,82,72,72,69,66,93,67,44,30.03,29.98,29.89,20,17,10,13,7,,0.00,2,,192
1976-6-30,91,82,73,69,68,66,85,62,44,30.01,29.96,29.90,20,18,15,10,8,,0.00,1,,191
