
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1987-9-1,91,80,70,71,65,56,97,66,32,30.15,30.10,30.03,15,11,3,16,10,23,0.00,1,Fog,12
1987-9-2,91,81,71,64,58,53,68,47,27,30.11,30.06,29.99,15,15,15,12,8,,0.00,1,,25
1987-9-3,93,80,66,61,58,55,79,50,29,30.08,30.02,29.93,15,15,10,9,4,,0.00,0,,56
1987-9-4,91,80,69,65,60,56,84,53,30,30.01,29.97,29.91,15,14,8,12,4,25,0.00,1,,163
1987-9-5,91,80,69,68,64,58,93,61,33,29.98,29.92,29.85,15,11,7,12,5,,0.00,1,,167
1987-9-6,91,80,69,74,68,64,96,67,44,29.94,29.89,29.81,15,10,5,14,5,,0.00,2,Fog,157
1987-9-7,82,78,73,75,72,68,97,83,67,29.97,29.88,29.82,15,11,2,9,5,,0.38,6,Fog-Rain,163
1987-9-8,95,83,71,73,69,61,100,68,36,29.97,29.92,29.88,15,13,7,14,4,,0.00,1,,350
1987-9-9,96,84,73,71,67,64,84,60,35,30.00,29.94,29.87,15,11,7,8,5,,0.00,2,,31
1987-9-10,96,83,69,73,69,67,100,74,40,29.94,29.89,29.79,20,11,0,34,8,72,2.93,5,Rain-Thunderstorm,215
1987-9-11,91,80,69,70,66,61,96,67,35,29.96,29.89,29.82,20,17,10,15,5,,0.00,5,Rain,205
1987-9-12,87,78,70,75,69,62,97,77,53,30.05,29.93,29.87,20,15,5,28,8,45,0.10,4,Fog-Rain-Thunderstorm,143
1987-9-13,93,82,72,75,72,68,100,72,47,30.01,29.94,29.90,20,14,4,14,7,22,0.00,4,Fog,157
1987-9-14,93,84,75,75,73,69,97,72,47,30.07,29.98,29.90,20,15,9,14,9,18,0.00,6,,166
1987-9-15,0,85,77,76,73,69,93,75,47,30.00,29.89,29.78,15,14,9,20,9,26,0.00,6,,172
1987-9-16,93,84,73,76,74,69,93,75,51,29.88,29.82,29.73,15,14,6,22,10,30,0.02,6,Rain,179
1987-9-17,93,82,72,76,73,68,96,73,50,29.93,29.86,29.78,15,14,10,13,9,,0.00,5,Rain,163
1987-9-18,84,77,70,78,73,69,100,88,67,29.95,29.89,29.85,20,12,1,23,8,36,0.92,7,Fog-Rain-Thunderstorm,80
1987-9-19,79,74,68,69,65,62,91,76,58,30.03,29.98,29.95,20,20,20,18,11,,0.00,6,,4
1987-9-20,82,74,66,66,65,62,93,73,51,30.05,30.01,29.96,20,16,10,13,7,,0.00,3,,34
1987-9-21,86,77,68,66,63,59,87,65,43,30.10,30.05,30.01,20,13,7,14,6,,0.00,4,,3
1987-9-22,82,75,68,62,54,45,78,52,30,30.25,30.18,30.11,20,18,15,17,12,25,0.00,4,,21
1987-9-23,82,72,62,54,50,48,62,48,34,30.25,30.17,30.09,20,20,20,14,9,,0.00,0,,12
1987-9-24,87,74,60,58,55,51,83,55,30,30.10,30.04,29.96,20,19,15,12,4,,0.00,0,,188
1987-9-25,86,74,62,60,56,53,80,56,33,30.06,30.01,29.96,20,20,20,13,4,,0.00,0,,163
1987-9-26,84,72,61,63,61,59,93,68,44,30.04,29.98,29.93,20,14,7,10,4,,0.00,3,,130
1987-9-27,86,76,66,75,70,64,97,86,63,30.03,29.97,29.92,15,9,0,32,6,47,0.68,5,Fog-Rain-Thunderstorm,116
1987-9-28,87,80,72,74,72,70,100,84,59,30.03,29.97,29.90,15,10,4,13,5,,0.00,6,Fog-Rain,92
1987-9-29,84,78,72,72,61,47,93,63,29,30.11,30.05,30.01,20,17,15,21,11,32,0.00,6,,19
1987-9-30,82,72,63,50,45,38,58,39,21,30.18,30.11,30.06,20,20,20,21,13,25,0.00,0,,357
