
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1980-4-1,80,68,57,65,60,54,90,78,60,29.91,29.85,29.79,15,7,2,15,8,,0.06,8,Fog-Rain-Thunderstorm,100
1980-4-2,72,69,66,69,65,62,91,88,84,29.87,29.78,29.70,6,2,0,8,6,,0.00,8,Fog,122
1980-4-3,77,70,63,68,52,42,90,58,32,30.11,29.93,29.75,20,12,0,18,8,25,0.05,6,Fog-Rain,8
1980-4-4,73,64,55,41,39,37,55,41,27,30.25,30.17,30.12,20,20,20,18,14,25,0.00,2,,14
1980-4-5,79,68,57,48,42,38,58,43,24,30.19,30.10,29.97,20,20,20,14,9,21,0.00,6,,103
1980-4-6,82,68,55,67,57,47,84,69,46,30.01,29.86,29.73,20,12,3,14,7,21,0.00,5,Fog,160
1980-4-7,91,81,71,68,66,64,84,66,41,29.83,29.74,29.61,15,10,6,17,9,24,0.00,5,,169
1980-4-8,75,66,57,68,32,19,82,30,12,30.21,30.12,29.83,20,16,5,25,14,36,0.00,0,Fog,344
1980-4-9,77,61,45,35,29,22,59,32,15,30.26,30.16,30.03,20,18,15,9,7,,0.00,0,,18
1980-4-10,81,64,48,58,43,33,70,44,25,30.03,29.89,29.75,20,18,15,17,8,29,0.00,1,,161
1980-4-11,82,74,66,66,63,59,84,70,52,29.78,29.70,29.63,15,9,5,17,12,24,0.00,7,Rain,165
1980-4-12,72,58,44,55,38,32,79,60,48,29.99,29.90,29.76,15,11,5,23,20,34,0.23,8,Rain-Thunderstorm,358
1980-4-13,51,45,39,38,33,25,82,66,38,30.05,29.98,29.93,20,13,5,30,19,43,0.28,6,Rain-Thunderstorm,313
1980-4-14,73,55,37,33,28,25,68,37,17,30.04,29.96,29.89,20,20,20,23,10,31,0.00,1,,285
1980-4-15,84,64,45,40,34,29,61,35,15,30.06,30.00,29.95,20,20,15,10,4,,0.00,0,,153
1980-4-16,89,70,52,47,40,34,63,36,19,30.09,30.04,29.99,20,18,10,16,5,23,0.00,1,,163
1980-4-17,82,71,55,57,46,35,78,45,20,30.20,30.12,30.06,20,16,7,12,6,,0.00,2,,278
1980-4-18,75,62,48,48,44,38,80,52,30,30.21,30.14,30.08,20,18,15,16,10,24,0.00,0,,357
1980-4-19,79,64,48,51,47,44,96,58,31,30.22,30.15,30.09,20,16,7,12,3,,0.00,0,,19
1980-4-20,82,67,52,52,48,44,86,52,25,30.18,30.12,30.05,20,18,10,12,3,,0.00,3,,172
1980-4-21,82,68,53,55,49,47,83,53,29,30.14,30.08,30.01,20,14,7,12,5,,0.00,5,,164
1980-4-22,81,68,55,60,54,48,89,64,36,30.11,30.04,29.93,20,11,0,14,5,,0.00,4,Fog,153
1980-4-23,82,72,61,62,59,55,90,67,47,29.98,29.88,29.76,15,12,4,14,9,,0.00,4,Fog,160
1980-4-24,84,74,64,64,62,60,87,69,46,29.80,29.67,29.56,10,9,5,16,10,24,0.05,7,,155
1980-4-25,82,72,61,64,52,40,93,58,23,29.77,29.66,29.57,20,13,5,20,9,37,1.54,4,Rain-Thunderstorm,331
1980-4-26,73,64,55,47,43,41,74,51,31,30.12,29.94,29.78,20,20,15,23,15,32,0.04,1,,322
1980-4-27,78,64,50,47,44,41,77,52,29,30.17,30.11,30.06,20,18,15,17,10,22,0.00,3,,338
1980-4-28,81,67,53,50,46,43,77,50,28,30.15,30.07,29.92,20,18,15,9,5,,0.00,1,,280
1980-4-29,87,72,57,54,50,46,78,48,25,29.96,29.83,29.70,20,15,10,16,7,23,0.00,4,,172
1980-4-30,78,71,64,66,59,49,78,67,47,29.75,29.68,29.61,15,10,8,13,9,,0.00,8,Thunderstorm,154
