
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1984-6-1,87,72,57,57,53,52,83,52,31,30.06,30.00,29.92,20,16,8,16,9,23,0.00,0,,156
1984-6-2,89,74,59,58,56,53,87,55,29,30.08,30.00,29.93,20,16,8,13,8,23,0.00,0,,151
1984-6-3,91,78,64,63,59,53,90,58,28,30.02,29.93,29.82,20,15,5,15,9,22,0.00,3,,169
1984-6-4,86,78,70,70,67,63,87,72,53,29.89,29.82,29.75,20,10,4,17,11,24,0.22,7,Fog-Rain-Thunderstorm,157
1984-6-5,90,77,64,70,68,62,90,71,44,29.89,29.82,29.74,20,15,5,16,9,23,0.64,7,Rain-Thunderstorm,170
1984-6-6,89,78,66,73,69,62,90,73,57,29.91,29.84,29.77,20,15,7,15,11,21,0.34,6,Rain-Thunderstorm,149
1984-6-7,91,84,78,72,71,70,79,68,52,29.88,29.83,29.78,20,17,15,21,13,29,0.00,6,,157
1984-6-8,91,84,78,72,71,69,81,68,48,29.89,29.85,29.80,15,13,7,16,13,25,0.00,7,,168
1984-6-9,89,82,75,73,70,69,85,70,53,29.90,29.84,29.79,15,13,7,16,12,24,0.01,7,,158
1984-6-10,91,83,75,70,68,62,82,64,42,29.98,29.91,29.87,15,14,4,16,10,21,0.00,6,Fog,143
1984-6-11,91,82,72,69,67,65,91,66,41,30.04,29.96,29.86,20,14,0,17,7,26,0.00,5,Fog,147
1984-6-12,87,80,73,73,70,67,90,77,53,30.02,29.98,29.94,20,14,5,20,9,31,0.28,5,Rain-Thunderstorm,159
1984-6-13,90,82,73,71,69,64,91,71,45,30.10,30.03,29.96,20,14,5,15,6,21,0.08,6,Fog,145
1984-6-14,91,82,72,70,67,63,91,66,39,30.11,30.03,29.95,15,12,4,15,5,,0.00,4,Fog,146
1984-6-15,93,82,72,69,65,61,84,61,34,30.08,30.00,29.91,20,15,7,12,5,,0.00,3,,165
1984-6-16,91,81,71,69,65,61,87,60,35,30.04,29.98,29.89,20,16,10,15,7,23,0.00,2,,168
1984-6-17,93,82,72,69,66,62,87,60,36,30.03,29.97,29.87,20,16,10,17,7,18,0.00,3,,160
1984-6-18,93,82,71,70,65,58,90,60,30,30.02,29.96,29.87,20,15,7,16,6,23,0.00,4,,172
1984-6-19,89,81,73,72,68,64,87,67,46,30.06,29.99,29.94,20,15,10,12,5,,0.12,3,,162
1984-6-20,93,82,72,72,66,61,87,59,33,30.08,30.01,29.93,15,11,7,14,7,,0.00,3,,173
1984-6-21,96,84,73,71,67,62,87,59,32,30.06,29.98,29.88,20,13,7,13,7,,0.00,3,,174
1984-6-22,96,84,73,70,67,62,87,57,32,30.00,29.92,29.80,20,16,10,16,9,18,0.00,2,,180
1984-6-23,97,85,73,70,66,61,85,56,31,29.96,29.90,29.84,20,17,10,13,8,20,0.00,1,,183
1984-6-24,99,87,75,70,66,62,79,52,30,30.05,29.98,29.92,20,17,15,13,6,,0.00,2,,129
1984-6-25,100,90,80,69,67,65,69,49,31,30.00,29.94,29.86,20,14,8,12,6,20,0.00,3,,95
1984-6-26,100,88,75,70,66,56,82,50,23,29.91,29.84,29.73,20,15,7,15,7,23,0.00,1,,164
1984-6-27,95,85,75,70,67,65,82,57,37,29.89,29.82,29.78,20,17,10,14,9,,0.00,5,,169
1984-6-28,87,81,75,73,70,66,87,70,49,29.97,29.92,29.86,15,10,6,10,7,,0.00,8,Rain,106
1984-6-29,95,84,73,71,67,60,87,59,31,29.94,29.88,29.77,15,10,7,9,4,,0.00,3,,207
1984-6-30,96,86,77,73,69,64,84,58,36,29.86,29.80,29.73,15,14,7,17,10,24,0.00,4,,167
