
CET,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1999-1-1,46,40,33,39,36,32,100,76,57,29.83,29.72,29.59,6,6,5,16,7,,0.00,6,Rain,145
1999-1-2,46,44,42,45,32,28,100,63,50,29.59,29.35,29.24,6,6,6,24,14,37,0.00,6,Rain,154
1999-1-3,42,40,37,39,37,32,100,87,66,29.39,29.28,29.18,6,6,4,24,16,39,0.00,6,Rain,155
1999-1-4,42,40,37,39,37,32,100,87,66,29.39,29.05,28.88,6,6,6,23,16,34,0.00,6,Rain,152
1999-1-5,42,40,39,41,40,37,100,96,87,29.53,29.42,28.97,6,6,4,8,5,,0.00,5,Rain,155
1999-1-6,41,38,35,39,36,34,100,95,93,29.50,29.39,29.36,6,6,6,7,3,,0.00,6,Fog-Rain,106
1999-1-7,37,34,30,36,32,28,100,94,87,29.53,29.45,29.36,6,6,6,5,2,,0.00,3,Fog,70
1999-1-8,33,28,23,30,24,18,93,81,69,29.74,29.62,29.53,6,6,6,6,2,,0.00,3,,82
1999-1-9,28,24,21,19,16,14,93,72,55,29.95,29.86,29.74,6,6,6,5,2,,0.00,1,,104
1999-1-10,28,24,21,28,24,16,100,90,59,30.09,30.00,29.95,6,4,0,7,3,,0.00,4,Snow,90
1999-1-11,26,22,19,21,18,14,93,84,74,30.15,30.11,30.01,6,6,6,7,2,,0.00,1,,110
1999-1-12,28,24,21,18,10,5,80,54,40,29.98,29.68,29.53,6,6,6,14,9,,0.00,3,,127
1999-1-13,30,26,24,27,17,3,93,69,37,29.53,29.43,29.24,6,4,0,16,10,,0.00,5,Snow,139
1999-1-14,32,29,26,25,18,10,93,64,41,29.21,29.07,29.00,6,6,1,15,8,,0.00,6,Snow,135
1999-1-15,41,36,30,39,32,21,93,87,64,29.06,28.92,28.68,6,5,1,28,17,44,0.00,6,Rain-Snow,153
1999-1-16,41,39,37,37,31,25,87,72,53,29.00,28.83,28.71,6,6,6,28,19,43,0.00,4,Rain-Thunderstorm,205
1999-1-17,41,39,37,39,34,27,100,82,61,29.33,29.20,29.03,6,6,4,31,22,44,0.00,4,Rain,186
1999-1-18,42,38,35,39,35,30,100,82,65,29.65,29.53,29.33,6,6,4,29,17,41,0.00,6,Rain,185
1999-1-19,44,42,39,43,41,37,93,92,81,29.36,29.27,29.18,6,5,2,28,22,40,0.00,6,Rain,187
1999-1-20,44,42,39,43,39,32,93,86,66,29.65,29.53,29.30,6,6,4,28,14,41,0.00,6,Rain,172
1999-1-21,42,38,35,41,38,34,100,90,76,29.86,29.76,29.59,6,6,4,22,14,36,0.00,6,Rain,201
1999-1-22,42,40,37,41,38,34,100,90,81,29.89,29.83,29.74,6,6,4,21,11,33,0.00,6,Rain,220
1999-1-23,42,40,39,41,39,37,100,94,93,29.71,29.63,29.50,6,6,4,21,12,,0.00,6,Rain,183
1999-1-24,44,40,37,41,39,36,93,88,71,29.50,29.39,29.33,6,6,3,28,19,39,0.00,6,Rain,223
1999-1-25,41,37,33,37,35,32,100,94,81,29.50,29.36,29.30,6,6,4,14,8,,0.00,4,Rain,168
1999-1-26,37,35,32,36,34,30,100,94,93,29.42,29.32,29.27,6,6,4,7,4,,0.00,5,Fog-Rain,37
1999-1-27,33,30,26,30,26,23,100,84,65,29.59,29.54,29.44,6,6,6,6,3,,0.00,3,,90
1999-1-28,32,28,24,21,16,10,74,59,47,30.12,29.85,29.62,6,6,6,6,2,,0.00,4,,115
1999-1-29,33,30,26,21,15,12,60,53,41,30.48,30.36,30.15,6,6,6,13,6,,0.00,5,Snow,142
1999-1-30,41,37,33,39,34,21,100,88,60,30.48,30.46,30.42,6,4,2,17,12,,0.00,6,Rain-Snow,156
1999-1-31,41,40,39,41,39,39,100,96,93,30.51,30.50,30.45,3,1,0,6,2,,0.00,6,Fog-Rain,164
